original,augmented,graph_type,complexity
"Multiple Intelligences, Circular Diagram, elements: Circle divided into eight segments, each labeled with different types of intelligences: Musical, Bodily-Kinesthetic, Interpersonal, Verbal-Linguistic, Logical-Mathematical, Naturalist, Self Smart, and Picture Smart, with 'Multiple Intelligences' in the center.","Multiple Intelligences, Circular Diagram, elements: Circle divided into eight segments, each labeled with different types of intelligences: Musical, Bodily-Kinesthetic, Interpersonal, Verbal-Linguistic, Logical-Mathematical, Naturalist, Self Smart, and Picture Smart, with 'Multiple Intelligences' in the center. [Visual Analysis: dense, complex | Nodes: 9, Edges: 73]",dense,complex
"Big Five Personality Traits, Grid Diagram, elements: Five rows, each representing a personality trait: Openness, Conscientiousness, Extroversion, Agreeableness, and Neuroticism. Each row has two columns for High and Low Five Tendencies, listing corresponding traits.","Big Five Personality Traits, Grid Diagram, elements: Five rows, each representing a personality trait: Openness, Conscientiousness, Extroversion, Agreeableness, and Neuroticism. Each row has two columns for High and Low Five Tendencies, listing corresponding traits. [Visual Analysis: dense, complex | Nodes: 19, Edges: 128]",dense,complex
"Constructivism in Learning, Infographic, elements: Top section with title and description of constructivism. Middle section features key terms and actions organized in a cloud format. Below, key people (Vygotsky, Bruner, Piaget) with quotes about learning. Lower section outlines key ideas, contrasting constructivism with traditional methods and listing example activities.","Constructivism in Learning, Infographic, elements: Top section with title and description of constructivism. Middle section features key terms and actions organized in a cloud format. Below, key people (Vygotsky, Bruner, Piaget) with quotes about learning. Lower section outlines key ideas, contrasting constructivism with traditional methods and listing example activities. [Visual Analysis: network, complex | Nodes: 52, Edges: 508]",network,complex
"Steps in the Scrum Iterative Process, Circular Flow Diagram, elements: Five steps arranged in a circular pattern: Step 1 - Sprint Planning, Step 2 - Sprint Execution, Step 3 - Daily Stand-ups, Step 4 - Sprint Review, Step 5 - Sprint Retrospective, with icons representing each step.","Steps in the Scrum Iterative Process, Circular Flow Diagram, elements: Five steps arranged in a circular pattern: Step 1 - Sprint Planning, Step 2 - Sprint Execution, Step 3 - Daily Stand-ups, Step 4 - Sprint Review, Step 5 - Sprint Retrospective, with icons representing each step. [Visual Analysis: network, complex | Nodes: 33, Edges: 135]",network,complex
"Iterative Product Development, Circular Flow Diagram, elements: A circular design with seven numbered elements (1 to 7) representing steps in iterative product development, each accompanied by descriptive text including 'Continuous improvement', 'Collaboration and cross-functional teams', 'Data-driven decision making', 'Rapid prototyping', 'Agile project management', and 'Minimum viable products (MVPs)'.","Iterative Product Development, Circular Flow Diagram, elements: A circular design with seven numbered elements (1 to 7) representing steps in iterative product development, each accompanied by descriptive text including 'Continuous improvement', 'Collaboration and cross-functional teams', 'Data-driven decision making', 'Rapid prototyping', 'Agile project management', and 'Minimum viable products (MVPs)'. [Visual Analysis: network, complex | Nodes: 36, Edges: 160]",network,complex
"TPACK Model, Venn Diagram, elements: Three overlapping circles labeled: 'Technological Knowledge', 'Content Knowledge', and 'Pedagogical Knowledge'. The intersections are labeled: TCK (Technological Content Knowledge), TPK (Technological Pedagogical Knowledge), and PCK (Pedagogical Content Knowledge), with TPACK in the center.","TPACK Model, Venn Diagram, elements: Three overlapping circles labeled: 'Technological Knowledge', 'Content Knowledge', and 'Pedagogical Knowledge'. The intersections are labeled: TCK (Technological Content Knowledge), TPK (Technological Pedagogical Knowledge), and PCK (Pedagogical Content Knowledge), with TPACK in the center. [Visual Analysis: empty, complex | Nodes: 0, Edges: 117]",empty,complex
"ADDIE Model of Instructional Design, Flow Diagram, elements: Five sequential blocks labeled ADDIE (Analysis, Design, Development, Implementation, Evaluation) with brief descriptions below each block, connected by arrows indicating the flow of the process.","ADDIE Model of Instructional Design, Flow Diagram, elements: Five sequential blocks labeled ADDIE (Analysis, Design, Development, Implementation, Evaluation) with brief descriptions below each block, connected by arrows indicating the flow of the process. [Visual Analysis: dense, complex | Nodes: 17, Edges: 70]",dense,complex
"Constructivism Learning Cycle, Circular Flow Diagram, elements: Central 'STUDENT' surrounded by five phases: Engage, Explore, Explain, Extend, Evaluate. Arrows indicate interaction with 'PRIOR KNOWLEDGE' and emphasize the 'ZONE OF PROXIMAL DEVELOPMENT'.","Constructivism Learning Cycle, Circular Flow Diagram, elements: Central 'STUDENT' surrounded by five phases: Engage, Explore, Explain, Extend, Evaluate. Arrows indicate interaction with 'PRIOR KNOWLEDGE' and emphasize the 'ZONE OF PROXIMAL DEVELOPMENT'. [Visual Analysis: dense, complex | Nodes: 10, Edges: 208]",dense,complex
"Bloom's Taxonomy, Pyramid Diagram, elements: Pyramid structure divided into six layers labeled: Knowledge, Comprehension, Application, Analysis, Synthesis, Evaluation, with increasing complexity from bottom to top.","Bloom's Taxonomy, Pyramid Diagram, elements: Pyramid structure divided into six layers labeled: Knowledge, Comprehension, Application, Analysis, Synthesis, Evaluation, with increasing complexity from bottom to top. [Visual Analysis: dense, complex | Nodes: 11, Edges: 85]",dense,complex
"Herzberg's Motivation-Hygiene Theory, Grid Diagram, elements: Two-column layout with left column listing motivators (Achievement, Recognition, The Work Itself, Responsibility, Advancement, Growth) and right column listing hygiene factors (Bureaucracy, Relationships, Work Conditions, Status, Salary, Security), each accompanied by relevant icons.","Herzberg's Motivation-Hygiene Theory, Grid Diagram, elements: Two-column layout with left column listing motivators (Achievement, Recognition, The Work Itself, Responsibility, Advancement, Growth) and right column listing hygiene factors (Bureaucracy, Relationships, Work Conditions, Status, Salary, Security), each accompanied by relevant icons. [Visual Analysis: sparse, complex | Nodes: 44, Edges: 67]",sparse,complex
