image_idx,diagram_type,type_confidence,visual_complexity,color_entropy,text_density,spatial_layout,enrichment,specific_num_nodes,specific_num_edges,specific_graph_density,specific_avg_node_degree,specific_is_connected,original_caption,enriched_caption,specific_num_segments,specific_has_labels,specific_is_donut,specific_color_coded,specific_num_shapes,specific_num_lines,specific_has_structure,specific_dominant_feature
0,network_graph,0.8,0.2727868451259953,0.3989854,0.21666666666666667,networked,"Network graph with 74 nodes and 122 edges, density 0.05",74.0,122.0,0.045168456127360236,3.2972972972972974,True,"Multiple Intelligences, Circular Diagram, elements: Circle divided into eight segments, each labeled with different types of intelligences: Musical, Bodily-Kinesthetic, Interpersonal, Verbal-Linguistic, Logical-Mathematical, Naturalist, Self Smart, and Picture Smart, with 'Multiple Intelligences' in the center.","Multiple Intelligences, Circular Diagram, elements: Circle divided into eight segments, each labeled with different types of intelligences: Musical, Bodily-Kinesthetic, Interpersonal, Verbal-Linguistic, Logical-Mathematical, Naturalist, Self Smart, and Picture Smart, with 'Multiple Intelligences' in the center. [Visual Analysis: Network graph with 74 nodes and 122 edges, density 0.05]",,,,,,,,
1,network_graph,0.8,0.3970817992031102,0.3793488,0.35074626865671643,networked,"Network graph with 130 nodes and 226 edges, density 0.03",130.0,226.0,0.02695289206917114,3.476923076923077,True,"Big Five Personality Traits, Grid Diagram, elements: Five rows, each representing a personality trait: Openness, Conscientiousness, Extroversion, Agreeableness, and Neuroticism. Each row has two columns for High and Low Five Tendencies, listing corresponding traits.","Big Five Personality Traits, Grid Diagram, elements: Five rows, each representing a personality trait: Openness, Conscientiousness, Extroversion, Agreeableness, and Neuroticism. Each row has two columns for High and Low Five Tendencies, listing corresponding traits. [Visual Analysis: Network graph with 130 nodes and 226 edges, density 0.03]",,,,,,,,
2,network_graph,0.8,0.9361980253506379,0.70449007,0.50390625,networked,"Network graph with 202 nodes and 703 edges, density 0.03",202.0,703.0,0.034628836017930154,6.96039603960396,True,"Constructivism in Learning, Infographic, elements: Top section with title and description of constructivism. Middle section features key terms and actions organized in a cloud format. Below, key people (Vygotsky, Bruner, Piaget) with quotes about learning. Lower section outlines key ideas, contrasting constructivism with traditional methods and listing example activities.","Constructivism in Learning, Infographic, elements: Top section with title and description of constructivism. Middle section features key terms and actions organized in a cloud format. Below, key people (Vygotsky, Bruner, Piaget) with quotes about learning. Lower section outlines key ideas, contrasting constructivism with traditional methods and listing example activities. [Visual Analysis: Network graph with 202 nodes and 703 edges, density 0.03]",,,,,,,,
3,network_graph,0.8,0.28598224317960785,0.5035657,0.459375,networked,"Network graph with 101 nodes and 245 edges, density 0.05",101.0,245.0,0.048514851485148516,4.851485148514851,True,"Steps in the Scrum Iterative Process, Circular Flow Diagram, elements: Five steps arranged in a circular pattern: Step 1 - Sprint Planning, Step 2 - Sprint Execution, Step 3 - Daily Stand-ups, Step 4 - Sprint Review, Step 5 - Sprint Retrospective, with icons representing each step.","Steps in the Scrum Iterative Process, Circular Flow Diagram, elements: Five steps arranged in a circular pattern: Step 1 - Sprint Planning, Step 2 - Sprint Execution, Step 3 - Daily Stand-ups, Step 4 - Sprint Review, Step 5 - Sprint Retrospective, with icons representing each step. [Visual Analysis: Network graph with 101 nodes and 245 edges, density 0.05]",,,,,,,,
4,network_graph,0.8,0.2980465891794752,0.3392806,0.5623608017817372,networked,"Network graph with 110 nodes and 249 edges, density 0.04",110.0,249.0,0.04153461217681401,4.527272727272727,True,"Iterative Product Development, Circular Flow Diagram, elements: A circular design with seven numbered elements (1 to 7) representing steps in iterative product development, each accompanied by descriptive text including 'Continuous improvement', 'Collaboration and cross-functional teams', 'Data-driven decision making', 'Rapid prototyping', 'Agile project management', and 'Minimum viable products (MVPs)'.","Iterative Product Development, Circular Flow Diagram, elements: A circular design with seven numbered elements (1 to 7) representing steps in iterative product development, each accompanied by descriptive text including 'Continuous improvement', 'Collaboration and cross-functional teams', 'Data-driven decision making', 'Rapid prototyping', 'Agile project management', and 'Minimum viable products (MVPs)'. [Visual Analysis: Network graph with 110 nodes and 249 edges, density 0.04]",,,,,,,,
5,pie_chart,0.9,0.16216807317647988,0.49278384,0.004711033082444649,radial,"Pie chart with 18 segments, unlabeled",,,,,,"TPACK Model, Venn Diagram, elements: Three overlapping circles labeled: 'Technological Knowledge', 'Content Knowledge', and 'Pedagogical Knowledge'. The intersections are labeled: TCK (Technological Content Knowledge), TPK (Technological Pedagogical Knowledge), and PCK (Pedagogical Content Knowledge), with TPACK in the center.","TPACK Model, Venn Diagram, elements: Three overlapping circles labeled: 'Technological Knowledge', 'Content Knowledge', and 'Pedagogical Knowledge'. The intersections are labeled: TCK (Technological Content Knowledge), TPK (Technological Pedagogical Knowledge), and PCK (Pedagogical Content Knowledge), with TPACK in the center. [Visual Analysis: Pie chart with 18 segments, unlabeled]",18.0,False,True,True,,,,
6,network_graph,0.8,0.23392471848409052,0.4836961,0.041852678571428575,networked,"Network graph with 128 nodes and 130 edges, density 0.02",128.0,130.0,0.015994094488188976,2.03125,True,"ADDIE Model of Instructional Design, Flow Diagram, elements: Five sequential blocks labeled ADDIE (Analysis, Design, Development, Implementation, Evaluation) with brief descriptions below each block, connected by arrows indicating the flow of the process.","ADDIE Model of Instructional Design, Flow Diagram, elements: Five sequential blocks labeled ADDIE (Analysis, Design, Development, Implementation, Evaluation) with brief descriptions below each block, connected by arrows indicating the flow of the process. [Visual Analysis: Network graph with 128 nodes and 130 edges, density 0.02]",,,,,,,,
7,network_graph,0.8,0.32314069123616807,0.57797486,0.02130681818181818,networked,"Network graph with 229 nodes and 340 edges, density 0.01",229.0,340.0,0.013023825940396843,2.96943231441048,True,"Constructivism Learning Cycle, Circular Flow Diagram, elements: Central 'STUDENT' surrounded by five phases: Engage, Explore, Explain, Extend, Evaluate. Arrows indicate interaction with 'PRIOR KNOWLEDGE' and emphasize the 'ZONE OF PROXIMAL DEVELOPMENT'.","Constructivism Learning Cycle, Circular Flow Diagram, elements: Central 'STUDENT' surrounded by five phases: Engage, Explore, Explain, Extend, Evaluate. Arrows indicate interaction with 'PRIOR KNOWLEDGE' and emphasize the 'ZONE OF PROXIMAL DEVELOPMENT'. [Visual Analysis: Network graph with 229 nodes and 340 edges, density 0.01]",,,,,,,,
8,network_graph,0.8,0.28513175529769097,0.33355087,0.07789855072463768,networked,"Network graph with 115 nodes and 126 edges, density 0.02",115.0,126.0,0.019221967963386728,2.1913043478260867,True,"Bloom's Taxonomy, Pyramid Diagram, elements: Pyramid structure divided into six layers labeled: Knowledge, Comprehension, Application, Analysis, Synthesis, Evaluation, with increasing complexity from bottom to top.","Bloom's Taxonomy, Pyramid Diagram, elements: Pyramid structure divided into six layers labeled: Knowledge, Comprehension, Application, Analysis, Synthesis, Evaluation, with increasing complexity from bottom to top. [Visual Analysis: Network graph with 115 nodes and 126 edges, density 0.02]",,,,,,,,
9,network_graph,0.8,0.37438372612860127,0.47657254,0.23828125,networked,"Network graph with 85 nodes and 128 edges, density 0.04",85.0,128.0,0.035854341736694675,3.011764705882353,True,"Herzberg's Motivation-Hygiene Theory, Grid Diagram, elements: Two-column layout with left column listing motivators (Achievement, Recognition, The Work Itself, Responsibility, Advancement, Growth) and right column listing hygiene factors (Bureaucracy, Relationships, Work Conditions, Status, Salary, Security), each accompanied by relevant icons.","Herzberg's Motivation-Hygiene Theory, Grid Diagram, elements: Two-column layout with left column listing motivators (Achievement, Recognition, The Work Itself, Responsibility, Advancement, Growth) and right column listing hygiene factors (Bureaucracy, Relationships, Work Conditions, Status, Salary, Security), each accompanied by relevant icons. [Visual Analysis: Network graph with 85 nodes and 128 edges, density 0.04]",,,,,,,,
